id,site,longitude,latitude,dateTime,airTemperature,dewPoint,meanSeaLevelPressure,relativeHumidity,windSpeed,windDirection,windGust,visibility
?20210329e5bb8brofae6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 01:00,7.6,7.1,1025,96.6,12.2,225,,
20210329in1dmcrogae6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 02:00,7.8,7.3,1025,96.6,15.6,225,,
20210329bjk539wo8he6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 03:00,7.8,7.3,1025,96.6,19.1,225,26.1,
20210329poc9nacoehe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 04:00,7.8,7.5,1025,97.8,13,225,26.9,
202103293zq7xdwojhe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 05:00,7.8,7.5,1025,97.8,13,225,,
20210329f6cccyromye6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 06:00,7.8,7.1,1026,95.2,14.8,225,26.1,
202103291f9u79hocye6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 07:00,7.9,7.1,1026,94.6,12.2,225,,
202103296pekt3wopye6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 08:00,8.3,6.8,1027,90.1,11.3,225,,
20210329kwjgxzcoqre6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 09:00,9.1,7,1027,86.5,11.3,225,,
20210329s5gujmcoxre6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 10:00,9.5,7.1,1028,84.8,12.2,225,,
20210329dnmkascooee6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 11:00,9.8,7,1028,82.4,12.2,225,,
20210329xjg1phcotee6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 12:00,9.8,6.9,1028,81.8,14.8,225,,
202103295oe7dpwo1ee6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 13:00,9.9,7.2,1029,83,12.2,225,,
20210329exuawfwouce6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 14:00,9.8,7.2,1029,83.6,9.6,225,,
20210329yfjzhgroioe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 15:00,9.8,7.4,1029,84.8,11.3,202.5,,
20210329cpjj56rosoe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 16:00,9.4,7.5,1029,87.7,9.6,225,,
20210329awac1kcozoe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 17:00,8.6,7.3,1029,91.4,8.7,225,,
20210329r4sbmproawe6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 18:00,7.7,6.9,1029,94.6,12.2,225,,
20210329tbzzotho3we6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 19:00,7.2,6.5,1029,95.3,11.3,247.5,,
202103297e5zy3ho4we6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 20:00,7.4,6,1029,90.7,8.7,247.5,,
20210329jo3kquwo5ae6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 21:00,8.4,4.6,1029,76.6,9.6,247.5,,
20210329isfjr9rohae6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 22:00,9.3,2.9,1029,63.7,9.6,270,,
20210329b73d64ro7he6zd8pyyb96sm4co,Dover,1.348,51.133,29/03/2021 23:00,7.2,5.4,1030,88.1,7.8,247.5,,
?20210330qrkestwo6he6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021,7.1,5.9,1030,91.9,7.8,247.5,,
202103304mqdp1co9he6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 01:00,10.7,4.2,1029,63.6,6.1,225,,
202103305o6rrmwo9he6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 02:00,11.4,3,1029,55.6,5.2,225,,
20210330g1i6a3wtbye6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 03:00,10.7,2.8,1029,57.4,5.2,225,,
2021033013thm8ctnye6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 04:00,10.3,3.2,1029,60.7,5.2,247.5,,
202103309y1hubrtdye6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 05:00,9.9,3.2,1029,62.5,5.2,225,,
20210330mjbqrzwtrre6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 06:00,8.4,3.2,1029,69.3,4.3,225,,
20210330zqhgcwrtfre6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 07:00,12.4,4.5,1029,58,1.7,180,,
20210330dsnttzctgee6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 08:00,14.1,3.5,1029,48.1,2.6,90,,
20210330x7etccht8ee6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 09:00,15,4.9,1029,50.2,2.6,112.5,,
20210330emg493ctjce6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 10:00,16.5,3.7,1029,41.7,1.7,112.5,,
20210330w1zgm1htkce6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 11:00,17.3,3,1029,37.6,2.6,90,,
20210330y3toh4ctmoe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 12:00,18.6,2.7,1028,33.8,4.3,90,,
20210330pyc7qqwtcoe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 13:00,19.2,4.1,1028,36.1,7,90,,
202103303eo8mirtpoe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 14:00,19.6,4.2,1027,35.5,11.3,90,,
20210330fqqagsctqwe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 15:00,19.7,4.4,1026,35.8,7.8,90,,
20210330tih1c4htxwe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 16:00,19.8,3.6,1026,33.5,7.8,90,,
202103301sfm8swtxwe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 17:00,18.6,3.5,1025,36,5.2,67.5,,
202103307h31t1rtowe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 18:00,16.4,2.7,1025,39.1,6.1,67.5,,
20210330kdur16httae6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 19:00,14.7,3.4,1025,46,6.1,67.5,,
20210330sk41b8ht1ae6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 20:00,13.8,3.8,1025,50.3,4.3,67.5,,
20210330n1mm9hwtuhe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 21:00,13.2,4.4,1025,54.5,1.7,67.5,,
20210330q3y75jrtwhe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 22:00,11.6,3.3,1025,56.1,1.7,135,,
202103305yxpiyrtihe6zd8pyyb96sm4co,Dover,1.348,51.133,30/03/2021 23:00,13.8,2.8,1024,46.8,4.3,112.5,,
?202103318g9cdcwtzye6zd8pyyb96sm4co,Dover,1.348,51.133,31/03/2021,14,3.7,1024,49.3,2.6,135,,
20210331up6kebrtaye6zd8pyyb96sm4co,Dover,1.348,51.133,31/03/2021 01:00,12.4,5.6,1023,62.8,2.6,180,,
20210331bjbk88ht3re6zd8pyyb96sm4ma,Dover,1.348,51.133,31/03/2021 02:00,12.1,5.4,1023,63.2,4.3,225,,
20210331mh5hrbht4re6zd8pyyb96sm4ma,Dover,1.348,51.133,31/03/2021 03:00,12.6,5.3,1022,60.7,4.3,225,,
20210331ad6r9mct5re6zd8pyyb96sm4ma,Dover,1.348,51.133,31/03/2021 04:00,12.6,5.6,1022,62,5.2,225,,
20210331o1yirbwt7ee6zd8pyyb96sm4ma,Dover,1.348,51.133,31/03/2021 05:00,12.3,5.8,1022,64.1,6.1,225,,
20210331h3fry4ht6ee6zd8pyyb96sm4ma,Dover,1.348,51.133,31/03/2021 06:00,12.1,6.3,1022,67.3,5.2,225,,
20210331jzbo4pct9ce6zd8pyyb96sp8eh,Dover,1.348,51.133,31/03/2021 07:00,12.4,6.7,1021,67.8,5.2,225,,
20210331i8o541w1yce6zd8pyyb96sp8eh,Dover,1.348,51.133,31/03/2021 08:00,12.6,6.8,1021,67.4,6.1,202.5,,
20210331n8y99fr1boe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 09:00,13.4,7.6,1021,67.6,7,225,,
20210331piukrpc1noe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 10:00,13.7,7.1,1021,64,7.8,225,,
202103313hz7kww1doe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 11:00,14.6,7.5,1021,62,6.1,225,,
202103315rrsh6r1doe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 12:00,15.6,7.7,1020,58.9,7,225,,
20210331gdwa83w1rwe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 13:00,16.8,7.8,1020,54.9,6.1,225,,
202103311kkaa1h1fwe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 14:00,16.7,7.2,1020,53,5.2,225,,
202103316t5mpoc1gwe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 15:00,16.8,7.3,1019,53.1,4.3,225,,
20210331k4rsi1r18ae6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 16:00,16.8,7.4,1019,53.4,5.2,247.5,,
20210331zbdg9ph1eae6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 17:00,17.7,7.5,1019,50.8,2.6,247.5,,
20210331dgecmth1jhe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 18:00,16.5,6.1,1019,49.7,1.7,247.5,,
20210331xpwo1hh1khe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 19:00,14.3,5.9,1019,56.6,1.7,180,,
20210331hxmsfkr1mhe6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 20:00,13.7,6.2,1019,60.1,2.6,157.5,,
2021033185zum1r1pye6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 21:00,15.5,6.5,1019,54.6,1.7,180,,
20210331yj14wkc1xre6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 22:00,14.6,6.5,1019,57.9,2.6,112.5,,
20210331coz7qgr1ore6znxqyyb96scx3r,Dover,1.348,51.133,31/03/2021 23:00,15,5.6,1020,52.9,4.3,90,,
?20210401azzadtc1tre6znxqyyb96scx3r,Dover,1.348,51.133,01/04/2021,16.1,5,1020,47.2,2.6,90,,
