id,site,longitude,latitude,dateTime,airTemperature,dewPoint,meanSeaLevelPressure,relativeHumidity,windSpeed,windDirection,windGust,visibility
?20210326czkaexrp3ee6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021,10.2,7.7,1011,84.3,,,0,8
20210326fffkicwp5ce6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 01:00,10.2,7.4,1010,82.7,,,0,8
20210326tca1hnhphce6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 02:00,9.7,6.5,1009,80.3,,,0,8
202103267ucmemrp7ce6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 03:00,9.6,6.3,1008,79.8,,,20.9,8
20210326j5nujdcp6oe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 04:00,9.7,6.6,1008,80.9,,,0,8
20210326sbsu6arp9oe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 05:00,9.4,6.5,1007,81.9,,,0,8
20210326neu7warqywe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 06:00,9.6,6.1,1006,78.7,,,0,8
20210326qxs5xkwqbwe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 07:00,9.9,6.4,1006,78.7,,,0,8
202103264s76nfhqnwe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 08:00,9.1,6.6,1005,84.3,,,0,7
20210326hdr61brqnwe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 09:00,7.7,6.7,1006,93.4,,,0,7
20210326ufyw45hqrae6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 11:00,6.2,3.9,1008,85.1,,,0,6
202103269cci76rqfae6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 12:00,9,4.3,1008,72.3,,,0,8
20210326m16jy1cqghe6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 13:00,9,3.1,1008,66.4,,,0,8
20210326rbcxgccqjye6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 14:00,8.1,4,1009,75.2,,,0,8
20210326fcpmn8cqjye6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 15:00,8.8,2.3,1009,63.5,,,0,9
20210326oecesprqkye6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 16:00,8.7,2,1009,62.6,20.9,270,28.7,8
20210326hxkftbhqmye6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 17:00,7.7,1.9,1009,66.5,,,26.9,8
20210326esp5ugcqcre6zd8pyyb96sm4ma,St Athan,-3.44,51.405,26/03/2021 18:00,7,2.9,1010,75,,,0,7
